"SampleID","sample.id","synis.id","gear","cruise","station","vessel","year","month","day","pos.start.n","pos.start.w","pos.end.n","pos.end.w","depth.start","depth.end","stat.square","towlength","townumber","species","number","length","sex","maturity","age","ungutted","gutted","gonads","liver"
"18_001_Gm",486251,35,78,"A12-2018",523,2350,2018,10,7,641458,265352,641746,265221,420,345,426,"3",1,1,1,105,2,4,8,"9205","7790","130","819"
"18_002_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,1,101,2,4,NA,"11260","8555","268","1034"
"18_003_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,2,96,1,4,10,"7725","6385","354","399"
"18_004_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,3,107,2,4,10,"10435","8620","245","843"
"18_005_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,4,104,2,4,11,"9835","8005","214","617"
"18_006_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,5,87,1,4,6,"5772","4970","71","283"
"18_007_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,6,83,2,4,7,"5312","4428","73","390"
"18_008_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,7,81,2,4,8,"4924","4116","61","436"
"18_009_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,8,75,2,4,5,"3442","2812","49","272"
"18_010_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,9,92,1,4,8,"6550","5440","160","486"
"18_011_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,10,106,1,4,11,"10940","9025","284","898"
"18_012_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,11,92,1,4,7,"6920","5730","187","571"
"18_013_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,12,97,1,4,11,"8710","6835","189","724"
"18_014_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,13,89,1,4,7,"6740","5768","107","489"
"18_015_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,14,103,2,4,12,"10250","8405","269","791"
"18_016_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,15,104,1,4,9,"10975","8735","295","695"
"18_017_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,16,72,2,4,7,"3378","2744","36","278"
"18_018_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,17,92,2,4,8,"6845","5690","103","431"
"18_019_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,18,89,2,4,9,"6895","5408","137","928"
"18_020_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,19,104,1,4,10,"11115","9120","240","1005"
"18_021_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,20,95,1,4,8,"7930","6510","211","552"
"18_022_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,21,99,1,4,10,"9535","7640","273","800"
"18_023_Gm",486272,35,78,"A12-2018",545,2350,2018,10,9,654297,292303,654581,292129,415,380,579,"2.9",1,1,22,84,2,4,8,"6035","4728","122","506"
